custom/total_reward,custom/total_distance,custom/routes_completed,custom/avg_speed,custom/mean_reward,custom/avg_center_dev,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/std,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/loss,train/explained_variance,train/entropy_loss,train/approx_kl
[-9.91267095],2.7510805474594235,0.006276150627615063,[1.16518145],[-0.35402396],0.17099764438422063,,,,,,,,,,,,,,,,,
[0.24556767],4.456747978925705,0.008333333333333333,[1.21355717],[0.00545706],0.13490145591880662,,,,,,,,,,,,,,,,,
[0.],2.404277980327606,0.0057306590257879654,[1.20537417],[0.],0.19102887377539352,,,,,,,,,,,,,,,,,
[-9.97255648],0.5021076463162899,0.0011750881316098707,[0.60247832],[-1.10806183],0.04337040212999851,,,,,,,,,,,,,,,,,
[0.52059552],3.1901540104299784,0.004694835680751174,[1.271],[0.01928132],0.06335904054779948,,,,,,,,,,,,,,,,,
[-9.75482195],3.325041174888611,0.025,[1.90094116],[-0.54193455],0.1339290277473302,,,,,,,,,,,,,,,,,
[0.01240497],3.397924579679966,0.002909090909090909,[1.33558067],[0.00040016],0.28409612250244476,,,,,,,,,,,,,,,,,
[-9.98910803],2.1539605855941772,0.00267379679144385,[0.76619071],[-0.35675386],0.1446737041206708,,,,,,,,,,,,,,,,,
[0.55599198],6.436048500239849,0.02258064516129032,[2.11711984],[0.01793523],0.10101319654059766,,,,,,,,,,,,,,,,,
[0.6122788],10.615431573241949,0.034482758620689655,[1.41224183],[0.00695771],0.21252573161543367,,,,,,,,,,,,,,,,,
-20.0,0.06623538583517075,0.0009182736455463728,[0.19427411],-10.0,0.006478196835538061,,,,,,,,,,,,,,,,,
[-8.88058854],5.072973756934516,0.00894187779433681,[1.2621536],[-0.19305627],0.04378359554026998,,,,,,,,,,,,,,,,,
[0.15284102],2.5349966660141945,0.003464203233256351,[1.06422839],[0.00527038],0.10944131129891857,,,,,,,,,,,,,,,,,
[1.13860789],10.870979808270931,0.011494252873563218,[1.94766302],[0.01779075],0.1435372622879834,,,,,,,,,,,,,,,,,
