custom/avg_speed,custom/avg_center_dev,custom/total_distance,custom/mean_reward,custom/routes_completed,custom/total_reward
[0.35444877],0.03255439826839459,1.9626002455479465,[-0.18181818],0.006711409395973154,[-10.]
[1.05122952],0.1109383656683743,1.955964606255293,[-0.51390466],0.0043859649122807015,[-9.76418845]
[1.05931001],0.07676849365234376,1.739132072776556,[0.01792587],0.0025974025974025974,[0.35851746]
[1.59201613],0.10894097146746493,4.345781143754721,[0.00630874],0.007207207207207207,[0.18926209]
[1.71178869],0.3173246213296952,7.819506406784058,[0.00214097],0.01839080459770115,[0.10062575]
[0.29245798],0.008316894532841602,0.09646587073802948,-10.0,0.0011918951132300357,-20.0
